model,asset,evaluated_count,llm_count,seed_count,avg_weight_when_present,max_weight_when_present,avg_candidate_score,best_candidate_score,avg_candidate_sigma_q09
google/gemini-3.1-pro-preview,HYDR,1,0,1,0.0014286568634880763,0.0014286568634880763,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
mistralai/mistral-small-2603,MOEX,85,82,3,0.20755500416115027,0.3529411764705882,0.019885713221261474,0.1240677708019698,0.2953996968158076
mistralai/mistral-small-2603,SBER,75,73,2,0.24836758500474967,0.35000000000000003,0.021601064468443093,0.1240677708019698,0.29744876706165607
mistralai/mistral-small-2603,IRAO,70,68,2,0.15487737324527098,0.38237347919088893,0.018528444778137056,0.1240677708019698,0.28862581996764625
mistralai/mistral-small-2603,USD000UTSTOM,63,61,2,0.12509419231816937,0.25,0.02755063327680678,0.1240677708019698,0.2834372662761487
mistralai/mistral-small-2603,VTBR,55,55,0,0.14267509317776697,0.3,0.020473627115138983,0.1125819284849146,0.3062372347359594
mistralai/mistral-small-2603,AFLT,49,48,1,0.1317334352545389,0.25,0.036468089441895606,0.1240677708019698,0.2985960157692499
mistralai/mistral-small-2603,PLZL,38,38,0,0.11570363073459049,0.2,0.0534445921699242,0.1240677708019698,0.30154922637281767
mistralai/mistral-small-2603,MGNT,26,25,1,0.1318701779717221,0.2,-0.034410431818281816,0.0085303392406545,0.28283539929906587
mistralai/mistral-small-2603,PHOR,18,17,1,0.10807241798311396,0.2749291921452489,0.05029272489850564,0.1240677708019698,0.2963536326008995
mistralai/mistral-small-2603,GAZP,12,12,0,0.16643939393939394,0.25,-0.022495964470410232,0.0627986411811289,0.31040753662331383
mistralai/mistral-small-2603,CHMF,12,12,0,0.10416666666666667,0.2,-0.02869114219115518,0.0750646930353703,0.32797759069860183
mistralai/mistral-small-2603,LKOH,9,9,0,0.16333333333333333,0.2,-0.028086276190805042,0.081462716397298,0.3177366912355366
mistralai/mistral-small-2603,ALRS,7,7,0,0.1142857142857143,0.2,-0.012717881435178555,0.0622987440462274,0.3155720715410631
mistralai/mistral-small-2603,EUR_RUB__TOM,7,5,2,0.1188127871317973,0.27069729892782907,-0.23995824358133125,0.044711595833612,0.26618779783342067
mistralai/mistral-small-2603,ROSN,5,5,0,0.15,0.25,-0.02899857977927222,-0.0003421776295833,0.298884959479083
mistralai/mistral-small-2603,NLMK,5,5,0,0.118,0.15,-0.11223477671975908,0.0665904745865879,0.3434554565034062
mistralai/mistral-small-2603,CHFRUB_TOM,4,3,1,0.11494097925777147,0.23529411764705882,-0.027188991290450125,0.0205021696953575,0.2470822485629205
mistralai/mistral-small-2603,CBOM,4,3,1,0.06646026277605432,0.1,-0.18430074589204912,0.0991017131724124,0.3120795131890868
mistralai/mistral-small-2603,GMKN,3,3,0,0.13333333333333333,0.2,-0.054155549109905755,0.081462716397298,0.32409350691379823
mistralai/mistral-small-2603,MAGN,5,2,3,0.12491769696142645,0.21564527559913826,-0.5724381392349416,-0.0081749626512258,0.36359406769434893
mistralai/mistral-small-2603,FEES,2,2,0,0.075,0.1,-0.015564418056288151,0.0396846983796422,0.2711158046051533
mistralai/mistral-small-2603,FLOT,3,1,2,0.2376628022675277,0.3535644491984552,-0.07044447353268886,-0.0542881773813929,0.28503647421825734
mistralai/mistral-small-2603,FXIT,3,1,2,0.18410467500233818,0.35638530361661197,-0.04492108673255107,-0.0337500385786801,0.19615407192326298
mistralai/mistral-small-2603,FIVE,3,1,2,0.12411587193444862,0.2062391435689053,-0.05844187368854676,0.0475726216830469,0.23525940393888892
mistralai/mistral-small-2603,BELU,3,1,2,0.04912609036708727,0.09260950615931166,-0.06669696229083387,-0.0393907620424053,0.22781801561908244
mistralai/mistral-small-2603,TATN,2,1,1,0.24158218359298472,0.40316436718596943,-0.4924742086522971,0.0396846983796422,0.3378378599122526
mistralai/mistral-small-2603,NVTK,2,1,1,0.2110959961664261,0.3221919923328522,-0.5165805634813191,-0.0085280112784019,0.37460373928252666
mistralai/mistral-small-2603,ASTR,2,1,1,0.11557639918109475,0.18115279836218948,-0.08035485749250044,-0.0233281943552246,0.2762748683237382
mistralai/mistral-small-2603,AKMB,2,1,1,0.11047747151834023,0.17095494303668046,-0.03135947819881495,-0.0233281943552246,0.25988236032294665
mistralai/mistral-small-2603,FXUS,2,1,1,0.060326764436656466,0.08065352887331294,-0.0699953482913584,0.0977735017771643,0.26705012646070725
mistralai/mistral-small-2603,HYDR,2,1,1,0.05071432843174404,0.1,-0.0276153558433472,0.0266311288187939,0.3199593867147269
mistralai/mistral-small-2603,AFKS,1,1,0,0.1,0.1,-0.2809600500964697,-0.2809600500964697,0.3619352037755718
mistralai/mistral-small-2603,MTSS,1,1,0,0.1,0.1,-0.2809600500964697,-0.2809600500964697,0.3619352037755718
mistralai/mistral-small-2603,VKCO,1,1,0,0.09999999999999998,0.09999999999999998,-0.0708135344922185,-0.0708135344922185,0.2682579913305034
mistralai/mistral-small-2603,YDEX,1,1,0,0.09999999999999998,0.09999999999999998,-0.0708135344922185,-0.0708135344922185,0.2682579913305034
mistralai/mistral-small-2603,SBERP,1,1,0,0.08,0.08,0.0665904745865879,0.0665904745865879,0.313561910414199
mistralai/mistral-small-2603,TECH,1,1,0,0.05,0.05,0.0513519886935853,0.0513519886935853,0.2726281931622025
mistralai/mistral-small-2603,TMOS,1,1,0,0.05,0.05,-0.0561173342360726,-0.0561173342360726,0.2597111745255619
mistralai/mistral-small-2603,HEAD,3,0,3,0.07965654579922728,0.19537990686806866,-0.38692771119037256,-0.0542881773813929,0.3246483014338744
mistralai/mistral-small-2603,UNAC,2,0,2,0.4295809602084358,0.4823351338395898,-0.826758434809246,-0.2377641983598811,0.33887752729333886
mistralai/mistral-small-2603,MSNG,2,0,2,0.12040846150240564,0.22013836523173022,-0.06429344237153425,-0.0467250442375802,0.24903474650631968
